[TAILING] Tailing last 500 lines for [all] processes (change the value with --lines option)
/home/glojas/.pm2/pm2.log last 500 lines:
PM2        | 2025-10-17T09:20:12: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T09:23:22: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:23:22: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T09:23:22: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T09:23:32: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:23:32: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T09:23:32: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T09:27:04: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T09:27:04: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T09:27:04: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T09:27:07: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
